,stars,body,name,title
0,1.0 out of 5 stars,Bakwas phone,vikas,Bakwas phone
1,1.0 out of 5 stars,"It is like a normal android..not an OnePlus..Low processing, Exceptional features of OnePlus are not there in this phone..Took so long time to delete items..Battery is draining fast..Charging is not as fast as claimed..Earlier I was using OnePlus 5T..I bought it to upgrade but unfortunately it degrades...",Verified buyer,It is not OnePlus
2,5.0 out of 5 stars,The best part of the phone is it's super simple and user friendly operating system. Camera doesn't oversaturate colours and captures decent photos. Battery charging is super fast. People argue that this is overpriced in this segment but I guess ease of using the phone and mainly the OS wouldn't be so good in other comparable phones. It is super light and handy. Cheers,Rohit M,Good overall
3,5.0 out of 5 stars,"Performance is really good - no lags at allPerfectly smooth user experience.COD gaming - quality medium, frame rate max - fps 57-60.Quality high, max frame rate - fps - 45-58Battery easily lasts more than one day with 1 hour gaming and 2-3 hours YouTube/Netflix etc.Super fast charging.Cameras are good too.Not as good as pixel 4a but almost 90% as good.Single speaker is a let down, but still enough loud.No ois but software stabilization is good.Overall, very satisfied with the phone.Really enjoying using the phone.Simply trust OnePlus, they know how to make good phones.",Subhrajit Pyne,Smooth user experience
4,1.0 out of 5 stars,Phone looks good but features are 10k phoneCamera is worstPerformance is not goodI recommend to go like vivo or oppo,Omar khan,Worst phone in this segment
5,5.0 out of 5 stars,"My first impression was overwhelming as it was a major upgrade from my last phone. It's a piece of art, the glass body and the amoled display makes feel.. Terrific.. 😅 One thing to take extra care is the camera portion which is placed Protruding at the back . The case is of average quality. The phone is butter smooth 🤤 It's just been a few hours so hoping for the best 🤞",Sunil Pareek,the best 🤞
6,5.0 out of 5 stars,"Awesome phone, amazing camera, better than nord, black colour is looking premium, best option at 23k. Go for it.",sayyad awez,Awesome
7,5.0 out of 5 stars,Awesome phone in this price.....Camera and features is good than previous one plus nordMust buy if you don't waste extra money on nord just because of slider,Mr KK,Great phone
8,5.0 out of 5 stars,"So far, so good. While the omission of the alert slider is baffling, everything else seems good for the price. Oxygen OS and good service of OnePlus is the saving grace, else there are better specifications out there. Buy it if software performance is your number 1 priority. Else you can get better phones from Redmi, iQoo or others.",Dhiren Punjabi,Buy if software performance matters most to you.
9,5.0 out of 5 stars,Great phone,Deepak panwar,Great product and good good service by amazon
10,5.0 out of 5 stars,"Pros -1.Good battery Backup2.Super-Amoled Fluid Display3.No Stereo Speaker but good sound4.Camera Setup is upto the mark5.90hz display6.Oxygen Os is best7.Proceesor is efficient for gaming and daily use8.Red Cable Membership (3 Months Extended Warranty)9.Brightness Level is goodCons -1. Plastic Back2. Only one 5G Band3.4k@60fbps missing4.Alert Slider Button MissingIt's my 2 day experience...Go for it priced at 22,999...I buy for 21,500 after including discounts and card offer....No other brand gives all features at this price range",Vishal Chaudhary,Best smartphone under 25000
