,Names of Company,Name of City-Country
0,no_name,
1,Fenix Metal Link,Mumbai - India
2,"Exzell Exims Private Limited, EXZELL (EXPORTS & IMPORTS)",Ghaziabad - India
3,Apex Precision Mechatronix Private Limited,Mumbai - India
4,"Alpine Accsys Private Limited, AAPLEngineeringExports",Navi mumbai - India
5,"Kamal Metal Products, KMP",Jamnagar - India
6,Simple Plastics & Metals,Thrissur - India
7,Carvin Dinkum Engineering Private Limited,Chennai - India
8,Metal Forms Private Limited,Chennai - India
9,Sri Bhagavathi Toolings & Pressing,Chennai - India
10,III Enterprises,Ambala - India
11,Sai Electricals,Vapi - India
12,Bendwell Industries,Chennai - India
13,Raja Systems (Coating) Private Limited,Pune - India
14,SS Rubber & Plastics,Faridabad - India
15,Fine Sheet Metal Works,Pune - India
16,HoldPuris,Indore - India
17,Harekrishna Enterprise,Jamnagar - India
18,Narayan Industries,Ahmedabad - India
19,Vabs Tools & Dies Private Limited,Coimbatore - India
20,Buildwell Projects India Private Limited,Bengaluru - India
21,V. R. Precision,Pune - India
22,Indus Floors India Private Limited,Gurgaon - India
23,V M Auto Parts Private Limited,Nashik - India
24,Anand Industries,Bengaluru - India
25,Global Brass & Alloy (India),Jamnagar - India
26,Noida Packer,Noida - India
27,Kirat Plastics Private Limited,Gurgaon - India
28,Incoblow Moulds Private Limited,Chennai - India
29,Gemtech,Navi mumbai - India
30,Vijay Enterprises Private Limited,Ahmedabad - India
31,C-Way Exports,Hyderabad - India
32,Aru Metal,Chennai - India
33,Movex Cargo Private Limited,Delhi - India
34,Sandeep Engineers,Palghar - India
35,Virtual Metalstreet Private Limited,Bengaluru - India
36,Om Engineers,Mumbai - India
37,Kajal Enterprises,Mumbai - India
38,Shivalik Fastners Private Limited,Mohali - India
39,MarsBIM,Ahmedabad - India
40,Sai Nirbhay Rubber Products,Thane - India
41,Raltech Precision Engineering Private Limited,Mumbai - India
42,SIS Cash Services Private Limited,New delhi - India
43,Precitech Forgings & Engineering Private Limited,Tiruvallur - India
44,Goodwill International,Kanpur - India
45,R. L. Rao Tools,Hyderabad - India
46,S.I.Engineering Products Private Limited,Faridabad - India
47,Bird Net Company,Select - India
48,Cosmos Tools,Bengaluru - India
49,Designifying,Gurgaon - India
50,Megatech Components Private Limited,New delhi - India
51,Struc Vision,Midnapore - India
52,Kevin Enterprises,Hyderabad - India
53,Hard Coats,Vapi - India
54,Bharat Engineering Exposition,Jalandhar - India
55,Gajjar Diecast & Engineers,Ahmedabad - India
56,Omaa Metal Source,Mumbai - India
57,Ashiwad Blow Mold,Ahmedabad - India
58,Beam Offset Private Limited,Ahmedabad - India
59,Technovision Engineering & Services India Private Limited,Mumbai - India
60,Metaloft Industries Private Limited,Bhiwadi - India
61,Brunia Tech,Mumbai - India
62,Moonlight Metal Products,Jamnagar - India
63,Sharnark Industrial Private Limited,Nagpur - India
64,Gladius Technologies,Pune - India
65,N.M.S. Enterprises,Mumbai - India
66,Crescent PPG Lining Private Limited,Bhopal - India
67,Lansteel Projects Private Limited,Kanchipuram - India
68,Gayatri Rubber and Fiber Plast Industry,Ahmedabad - India
69,Jay Ambe Lamination,Gandhinagar - India
70,Divine Laser Technologies,Ahmedabad - India
71,Visha Industrial Plastics,Kanchipuram - India
72,Vaishnu Engineers Private Limited,Noida - India
73,Subaero Precision Machining Private Limited,Mumbai - India
74,Alumax Brass Products,Jamnagar - India
75,Sree Ram Sparkers,Coimbatore - India
76,Krishna Crane Engineers,Ahmedabad - India
77,Nanocoat Chemicals Private Limited,Secunderabad - India
78,Siddhivinayak Consultancy Services,Thane - India
79,Hydrotech Engineers,Secunderabad - India
80,Icon Technocast,Rajkot - India
81,Industrial Tube Company,Mumbai - India
82,no_name,
83,Fenix Metal Link,Mumbai - India
84,"Exzell Exims Private Limited, EXZELL (EXPORTS & IMPORTS)",Ghaziabad - India
85,Apex Precision Mechatronix Private Limited,Mumbai - India
86,"Alpine Accsys Private Limited, AAPLEngineeringExports",Navi mumbai - India
87,"Kamal Metal Products, KMP",Jamnagar - India
88,Simple Plastics & Metals,Thrissur - India
89,Carvin Dinkum Engineering Private Limited,Chennai - India
90,Metal Forms Private Limited,Chennai - India
91,Sri Bhagavathi Toolings & Pressing,Chennai - India
92,III Enterprises,Ambala - India
93,Sai Electricals,Vapi - India
94,Bendwell Industries,Chennai - India
95,Raja Systems (Coating) Private Limited,Pune - India
96,SS Rubber & Plastics,Faridabad - India
97,Fine Sheet Metal Works,Pune - India
98,HoldPuris,Indore - India
99,Harekrishna Enterprise,Jamnagar - India
100,Narayan Industries,Ahmedabad - India
101,Vabs Tools & Dies Private Limited,Coimbatore - India
102,Buildwell Projects India Private Limited,Bengaluru - India
103,V. R. Precision,Pune - India
104,Indus Floors India Private Limited,Gurgaon - India
105,V M Auto Parts Private Limited,Nashik - India
